epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,1108.38,1.32923,2.01016,1.62749,1.50909,0.70105,0.56168,0.63055,0.42962,0.70195,0.56244,0.63583,0.41813,1.27281,1.88543,1.42229,1.42173,0.0011884,0.0011884,0.0011884
31,1144.61,1.33442,2.00936,1.62094,1.5185,0.67267,0.52389,0.61324,0.42741,0.72097,0.51073,0.62192,0.41948,1.24262,1.88151,1.41841,1.38436,0.0011719,0.0011719,0.0011719
32,1180.67,1.33474,1.96118,1.63485,1.51605,0.71844,0.54022,0.64369,0.44459,0.75707,0.54112,0.64927,0.43048,1.20889,1.8702,1.35597,1.38516,0.0011554,0.0011554,0.0011554
33,1216.92,1.30722,1.94765,1.55143,1.48579,0.76412,0.56138,0.66989,0.47401,0.79438,0.56347,0.67484,0.46349,1.13267,1.82003,1.30654,1.32813,0.00113889,0.00113889,0.00113889
34,1253.4,1.26184,1.89623,1.51181,1.46152,0.74353,0.59238,0.6553,0.44765,0.74943,0.59696,0.66507,0.44907,1.1863,1.6985,1.31973,1.35052,0.00112239,0.00112239,0.00112239
35,1289.66,1.28631,1.97877,1.5817,1.46133,0.67922,0.58076,0.67214,0.45918,0.74772,0.54439,0.6759,0.45953,1.16426,1.87034,1.37064,1.34323,0.00110589,0.00110589,0.00110589
36,1325.81,1.27997,1.92071,1.53383,1.47167,0.72835,0.58375,0.67563,0.46108,0.72597,0.58198,0.6791,0.45693,1.19776,1.7692,1.34343,1.35393,0.00108938,0.00108938,0.00108938
37,1362.13,1.25581,1.8543,1.48969,1.44541,0.71735,0.58288,0.65943,0.45319,0.73641,0.57424,0.66642,0.43774,1.17551,1.78796,1.32091,1.34697,0.00107288,0.00107288,0.00107288
38,1398.43,1.22845,1.83652,1.45034,1.42354,0.75745,0.67705,0.70229,0.48527,0.75887,0.68036,0.70495,0.4835,1.14741,1.72577,1.2048,1.34339,0.00105638,0.00105638,0.00105638
39,1434.95,1.23251,1.85869,1.4363,1.41064,0.74577,0.58492,0.68529,0.47695,0.74904,0.58746,0.69001,0.47424,1.16542,1.74586,1.29011,1.34967,0.00103987,0.00103987,0.00103987
40,1471.12,1.21539,1.82397,1.42581,1.41504,0.75502,0.60909,0.69735,0.4896,0.75754,0.61163,0.70449,0.48437,1.15474,1.79716,1.28368,1.35965,0.00102337,0.00102337,0.00102337
41,1507.74,1.20817,1.80241,1.39181,1.40908,0.70293,0.65216,0.69965,0.47764,0.71052,0.65977,0.71096,0.46828,1.17291,1.8036,1.24554,1.32548,0.00100687,0.00100687,0.00100687
42,1545.06,1.20287,1.81083,1.3944,1.39105,0.76096,0.58796,0.67167,0.46265,0.79236,0.56551,0.67661,0.4581,1.13648,1.76429,1.29625,1.34208,0.000990365,0.000990365,0.000990365
43,1582.14,1.17502,1.77544,1.35833,1.37096,0.75114,0.62122,0.71402,0.50588,0.75477,0.62553,0.71954,0.49703,1.11312,1.75702,1.23156,1.31707,0.000973861,0.000973861,0.000973861
44,1618.68,1.18756,1.77871,1.37647,1.38294,0.73429,0.64173,0.70507,0.49668,0.73605,0.64326,0.7088,0.49676,1.12687,1.73835,1.22233,1.29784,0.000957358,0.000957358,0.000957358
45,1656.02,1.17594,1.79536,1.36417,1.36172,0.74784,0.57876,0.68431,0.48673,0.76196,0.5828,0.69141,0.47398,1.11502,1.72149,1.37317,1.29218,0.000940855,0.000940855,0.000940855
46,1692.64,1.1573,1.76492,1.30802,1.35342,0.74696,0.60244,0.69417,0.48645,0.75681,0.60772,0.70329,0.4933,1.12922,1.71203,1.25527,1.3248,0.000924352,0.000924352,0.000924352
47,1728.65,1.15476,1.76886,1.3251,1.34555,0.80949,0.58163,0.70663,0.49729,0.81487,0.58613,0.71466,0.48228,1.09894,1.73021,1.21315,1.29639,0.000907848,0.000907848,0.000907848
48,1765.45,1.13118,1.69323,1.28066,1.33552,0.79534,0.65739,0.73128,0.52011,0.8034,0.6647,0.73889,0.52374,1.11519,1.72313,1.15024,1.30888,0.000891345,0.000891345,0.000891345
49,1802.27,1.12859,1.68967,1.25828,1.32692,0.71862,0.66759,0.72458,0.50628,0.78574,0.61897,0.73059,0.507,1.13426,1.69563,1.19289,1.30366,0.000874842,0.000874842,0.000874842
50,1839.17,1.11501,1.65423,1.24312,1.33107,0.80114,0.64103,0.73628,0.51952,0.80663,0.64611,0.74117,0.52027,1.10841,1.69294,1.13762,1.30504,0.000858338,0.000858338,0.000858338
51,1875.96,1.12229,1.67016,1.21981,1.31928,0.8306,0.61368,0.73299,0.51728,0.83146,0.61432,0.73742,0.51433,1.0979,1.71408,1.15013,1.29115,0.000841835,0.000841835,0.000841835
52,1912.49,1.09643,1.64784,1.20795,1.30661,0.7746,0.61965,0.71814,0.50129,0.77777,0.62219,0.72335,0.4998,1.11142,1.67555,1.15912,1.27944,0.000825332,0.000825332,0.000825332
53,1949.09,1.07125,1.65349,1.19344,1.28418,0.78289,0.6527,0.75389,0.53546,0.7785,0.67144,0.7636,0.53668,1.11806,1.69085,1.10257,1.29525,0.000808828,0.000808828,0.000808828
54,1985.85,1.0642,1.6581,1.17412,1.28721,0.80624,0.63564,0.73807,0.52169,0.7655,0.67248,0.74428,0.52318,1.07285,1.65848,1.12873,1.27111,0.000792325,0.000792325,0.000792325
55,2022.24,1.07159,1.63366,1.1652,1.28352,0.79174,0.62368,0.73897,0.52435,0.79901,0.62046,0.74129,0.52425,1.07197,1.6535,1.10679,1.26777,0.000775822,0.000775822,0.000775822
56,2058.61,1.05918,1.61631,1.14878,1.28275,0.77406,0.60418,0.72656,0.5221,0.78212,0.61002,0.73413,0.51654,1.0456,1.65394,1.13652,1.25458,0.000759318,0.000759318,0.000759318
57,2095.14,1.04499,1.59041,1.12384,1.25818,0.81377,0.61064,0.70189,0.50349,0.81431,0.61141,0.70921,0.49596,1.09328,1.7204,1.19168,1.27776,0.000742815,0.000742815,0.000742815
58,2131.58,1.0506,1.57306,1.13606,1.27573,0.71184,0.66884,0.72778,0.52358,0.7237,0.679,0.74165,0.52733,1.09849,1.63942,1.19565,1.28325,0.000726312,0.000726312,0.000726312
59,2167.52,1.03794,1.5547,1.11842,1.27877,0.80807,0.63161,0.74371,0.53492,0.81827,0.63592,0.75206,0.53585,1.0854,1.68103,1.09871,1.26195,0.000709809,0.000709809,0.000709809
60,2204.45,1.03416,1.55072,1.11951,1.25634,0.79021,0.68334,0.75895,0.5346,0.80487,0.68209,0.7652,0.53335,1.0764,1.61448,1.07086,1.28242,0.000693305,0.000693305,0.000693305
61,2241.86,1.03761,1.57589,1.10032,1.23803,0.79197,0.71078,0.77341,0.55342,0.79277,0.71154,0.77472,0.55056,1.05995,1.68018,1.0429,1.25895,0.000676802,0.000676802,0.000676802
62,2278.85,1.009,1.51572,1.06204,1.24545,0.80313,0.70395,0.76889,0.5347,0.80596,0.70726,0.77473,0.54982,1.05215,1.62953,1.02922,1.25258,0.000660299,0.000660299,0.000660299
63,2315.75,1.00346,1.54266,1.04432,1.24621,0.72747,0.68288,0.74638,0.53024,0.73558,0.6905,0.75332,0.53227,1.06388,1.65669,1.08845,1.25421,0.000643795,0.000643795,0.000643795
64,2352.29,1.00883,1.53514,1.0595,1.2285,0.75295,0.66061,0.73999,0.52895,0.75369,0.66137,0.74596,0.52693,1.03683,1.62798,1.06244,1.2368,0.000627292,0.000627292,0.000627292
65,2388.8,0.99694,1.48963,1.02847,1.23084,0.77042,0.67794,0.75579,0.54518,0.77719,0.6841,0.76596,0.5428,1.05264,1.65933,1.05605,1.23647,0.000610789,0.000610789,0.000610789
66,2425.27,0.99198,1.45767,1.02773,1.21812,0.81222,0.66985,0.75659,0.54562,0.82121,0.67316,0.76082,0.5445,1.01759,1.638,1.05949,1.23767,0.000594286,0.000594286,0.000594286
67,2461.72,1.008,1.52385,1.03299,1.23467,0.83829,0.64048,0.74413,0.54155,0.77836,0.6961,0.75374,0.53149,1.05144,1.5549,1.07466,1.24632,0.000577782,0.000577782,0.000577782
68,2497.89,0.98802,1.49395,1.02156,1.21262,0.76618,0.6552,0.75078,0.54381,0.80002,0.66175,0.76432,0.53657,1.03948,1.62763,1.07109,1.23153,0.000561279,0.000561279,0.000561279
69,2534.05,0.96487,1.48153,0.99517,1.19998,0.79474,0.65588,0.75675,0.53329,0.8082,0.66526,0.7706,0.53281,1.05234,1.56465,1.05629,1.24737,0.000544776,0.000544776,0.000544776
70,2570.46,0.97516,1.47428,0.98883,1.20865,0.81302,0.64878,0.75959,0.5516,0.81734,0.6512,0.76818,0.55576,1.04086,1.65918,1.03709,1.23696,0.000528272,0.000528272,0.000528272
71,2607.21,0.9485,1.4287,0.97472,1.20638,0.83719,0.63004,0.77131,0.56959,0.84664,0.63748,0.78182,0.56532,0.99721,1.5874,1.03609,1.22482,0.000511769,0.000511769,0.000511769
72,2643.87,0.95461,1.42684,0.9689,1.20899,0.84377,0.64537,0.77096,0.56547,0.84912,0.64812,0.77907,0.56561,1.00571,1.57697,1.00243,1.21499,0.000495266,0.000495266,0.000495266
73,2680.24,0.95005,1.45108,0.96067,1.19559,0.84742,0.67582,0.76822,0.55441,0.8575,0.67609,0.77812,0.55157,1.0327,1.60496,0.99923,1.23383,0.000478762,0.000478762,0.000478762
74,2716.85,0.93422,1.42849,0.9306,1.17186,0.77713,0.68669,0.75875,0.55043,0.7815,0.69766,0.7683,0.54804,0.99871,1.62331,1.05795,1.21715,0.000462259,0.000462259,0.000462259
75,2753.12,0.93729,1.40781,0.93171,1.18484,0.86172,0.6719,0.77468,0.56162,0.86731,0.67622,0.7873,0.56135,1.01547,1.60723,1.01981,1.23184,0.000445756,0.000445756,0.000445756
76,2789.47,0.94385,1.41724,0.93212,1.18354,0.8416,0.64886,0.77438,0.55874,0.8454,0.6514,0.78179,0.55688,0.99516,1.60153,1.03668,1.22212,0.000429253,0.000429253,0.000429253
77,2826.35,0.9228,1.39147,0.91111,1.17443,0.83065,0.64999,0.76539,0.56076,0.8357,0.66173,0.77831,0.55892,1.01169,1.63186,1.01108,1.22087,0.000412749,0.000412749,0.000412749
78,2862.48,0.92608,1.40671,0.91741,1.17811,0.87885,0.58215,0.75281,0.54442,0.8876,0.59027,0.764,0.54048,1.02499,1.61581,1.0715,1.23861,0.000396246,0.000396246,0.000396246
79,2899.07,0.89645,1.34673,0.88096,1.16159,0.81077,0.66831,0.76933,0.55845,0.82226,0.67762,0.78226,0.54649,1.00806,1.65933,0.9973,1.21923,0.000379743,0.000379743,0.000379743
80,2935.74,0.90496,1.37169,0.8966,1.17125,0.83039,0.66554,0.76683,0.55589,0.83583,0.66985,0.77575,0.552,1.01668,1.63719,1.0386,1.23347,0.000363239,0.000363239,0.000363239
