epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,765.087,1.57125,2.24967,1.85888,1.55804,0.67065,0.47205,0.55312,0.37196,0.68272,0.48067,0.56284,0.36544,1.3011,2.05429,1.56784,1.43227,0.0011884,0.0011884,0.0011884
31,790.039,1.57024,2.23799,1.86278,1.58082,0.69968,0.51776,0.59024,0.39513,0.7029,0.52761,0.59582,0.38049,1.28492,1.95797,1.52983,1.42415,0.0011719,0.0011719,0.0011719
32,815.075,1.58463,2.2116,1.87001,1.58135,0.72077,0.559,0.61052,0.39869,0.73759,0.56549,0.62055,0.40083,1.35283,1.96648,1.52061,1.46172,0.0011554,0.0011554,0.0011554
33,839.774,1.54511,2.18915,1.81476,1.55467,0.66145,0.53785,0.60641,0.40462,0.67623,0.54191,0.61082,0.40483,1.2734,1.96909,1.50177,1.40367,0.00113889,0.00113889,0.00113889
34,864.564,1.53445,2.14302,1.79099,1.54462,0.68396,0.50047,0.57094,0.36799,0.69571,0.49069,0.57946,0.36373,1.33651,1.91323,1.69045,1.46677,0.00112239,0.00112239,0.00112239
35,889.278,1.544,2.22942,1.83541,1.55018,0.65174,0.54434,0.60418,0.39126,0.67199,0.55004,0.62,0.40126,1.31408,1.98444,1.55093,1.45599,0.00110589,0.00110589,0.00110589
36,914.279,1.52301,2.15594,1.77392,1.54063,0.6155,0.579,0.6058,0.39168,0.64514,0.56499,0.61433,0.39377,1.32277,1.92749,1.49634,1.45553,0.00108938,0.00108938,0.00108938
37,939.566,1.51024,2.09904,1.73617,1.52321,0.71287,0.54096,0.61758,0.41326,0.70985,0.54507,0.62606,0.39038,1.29745,1.92403,1.46086,1.4185,0.00107288,0.00107288,0.00107288
38,964.562,1.48959,2.10852,1.73206,1.51422,0.66709,0.58628,0.62248,0.41694,0.6633,0.58628,0.62737,0.41877,1.29487,1.90402,1.43126,1.44677,0.00105638,0.00105638,0.00105638
39,989.746,1.48962,2.10982,1.71198,1.50225,0.73255,0.55939,0.62308,0.41572,0.76309,0.52983,0.62867,0.41346,1.30723,1.90115,1.46495,1.43849,0.00103987,0.00103987,0.00103987
40,1014.51,1.48463,2.08597,1.6907,1.49736,0.6905,0.59008,0.62991,0.41001,0.68975,0.5949,0.63654,0.41729,1.29906,1.90409,1.44039,1.44264,0.00102337,0.00102337,0.00102337
41,1039.01,1.47434,2.07428,1.67573,1.50995,0.67691,0.61518,0.67028,0.42646,0.68321,0.6205,0.67881,0.42496,1.33826,1.90479,1.4402,1.47332,0.00100687,0.00100687,0.00100687
42,1063.92,1.49833,2.07929,1.6976,1.50995,0.65601,0.56852,0.605,0.40731,0.65865,0.5703,0.60819,0.40689,1.23084,1.85947,1.43838,1.40355,0.000990365,0.000990365,0.000990365
43,1088.49,1.47519,2.03705,1.6416,1.48262,0.74252,0.56448,0.63985,0.42429,0.73231,0.56194,0.6457,0.42153,1.28229,1.92573,1.40925,1.41788,0.000973861,0.000973861,0.000973861
44,1113.11,1.46161,2.05577,1.65267,1.49436,0.6863,0.58314,0.62791,0.41156,0.68505,0.58214,0.63489,0.40727,1.3172,1.99628,1.5497,1.44614,0.000957358,0.000957358,0.000957358
45,1137.84,1.47072,2.07487,1.64925,1.48233,0.78749,0.54841,0.66593,0.4455,0.79078,0.54994,0.66981,0.43589,1.25107,1.88952,1.42984,1.41179,0.000940855,0.000940855,0.000940855
46,1162.82,1.43185,2.05889,1.59828,1.46336,0.7888,0.56753,0.65763,0.44075,0.79183,0.57006,0.66166,0.43245,1.23098,1.87865,1.3101,1.39833,0.000924352,0.000924352,0.000924352
47,1187.79,1.42727,2.02597,1.62573,1.45426,0.66869,0.6022,0.63483,0.4226,0.67123,0.60474,0.64128,0.41408,1.25498,1.88491,1.41653,1.39894,0.000907848,0.000907848,0.000907848
48,1213.64,1.4178,1.9827,1.58587,1.45261,0.77562,0.63284,0.68485,0.46191,0.77811,0.63538,0.68985,0.45891,1.26146,1.81018,1.30334,1.42046,0.000891345,0.000891345,0.000891345
49,1238.89,1.42182,1.97203,1.5574,1.45589,0.78593,0.5851,0.68082,0.45472,0.78388,0.59587,0.68813,0.44839,1.25415,1.86536,1.35595,1.40968,0.000874842,0.000874842,0.000874842
50,1264.46,1.41524,1.95997,1.55826,1.44871,0.76038,0.57995,0.66664,0.4529,0.75405,0.57564,0.66938,0.44814,1.24377,1.80225,1.36347,1.40443,0.000858338,0.000858338,0.000858338
51,1290.06,1.40793,1.96096,1.54622,1.44076,0.69997,0.58749,0.64136,0.44237,0.6936,0.59712,0.6439,0.43682,1.20147,1.87999,1.37112,1.40132,0.000841835,0.000841835,0.000841835
52,1314.96,1.38809,1.91714,1.52254,1.43689,0.75223,0.59031,0.66745,0.44477,0.74103,0.59047,0.66298,0.43723,1.25015,1.87074,1.30475,1.41254,0.000825332,0.000825332,0.000825332
53,1340.19,1.37492,1.93559,1.5041,1.43066,0.75723,0.56324,0.65876,0.45219,0.7586,0.56695,0.6694,0.44013,1.24143,1.83011,1.31334,1.41364,0.000808828,0.000808828,0.000808828
54,1364.94,1.37167,1.95118,1.48708,1.41968,0.73694,0.61014,0.66874,0.45212,0.74517,0.61699,0.67142,0.44167,1.24118,1.86365,1.32142,1.39192,0.000792325,0.000792325,0.000792325
55,1389.78,1.38298,1.91746,1.47456,1.40307,0.67627,0.62783,0.66711,0.45618,0.67614,0.6286,0.66938,0.44945,1.21948,1.85067,1.2915,1.41879,0.000775822,0.000775822,0.000775822
56,1414.71,1.35775,1.92176,1.45897,1.41623,0.76497,0.61134,0.67944,0.46803,0.77399,0.61312,0.6892,0.46824,1.22868,1.83007,1.29483,1.40297,0.000759318,0.000759318,0.000759318
