epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
29,1943.57,1.48514,1.98622,1.58652,1.51371,0.76067,0.57894,0.67262,0.46075,0.74712,0.59708,0.6834,0.469,1.23809,1.79785,1.37024,1.41171,0.00120491,0.00120491,0.00120491
30,2010.15,1.44692,1.90079,1.5276,1.491,0.76427,0.54668,0.67059,0.46101,0.76672,0.55429,0.68156,0.46874,1.23716,1.87762,1.30725,1.40337,0.0011884,0.0011884,0.0011884
31,2076.73,1.45351,1.91817,1.48997,1.47913,0.76227,0.59232,0.70369,0.48817,0.77023,0.59563,0.7117,0.4737,1.2406,1.89919,1.27601,1.41382,0.0011719,0.0011719,0.0011719
32,2143.45,1.44681,1.91898,1.52616,1.47588,0.68305,0.57163,0.66838,0.46544,0.68091,0.58287,0.67543,0.46711,1.21465,1.83472,1.36865,1.40355,0.0011554,0.0011554,0.0011554
33,2209.91,1.40886,1.84183,1.44821,1.45083,0.76833,0.56009,0.68753,0.4648,0.77095,0.56954,0.69813,0.47947,1.2275,1.82838,1.28617,1.3915,0.00113889,0.00113889,0.00113889
34,2276.59,1.40378,1.86229,1.45326,1.44925,0.81676,0.57887,0.70706,0.46577,0.81518,0.58509,0.71811,0.47136,1.22951,1.8201,1.26201,1.41311,0.00112239,0.00112239,0.00112239
35,2343.19,1.41042,1.87513,1.48486,1.45711,0.76824,0.58492,0.68431,0.46028,0.75951,0.5877,0.68732,0.46024,1.23305,1.86682,1.30045,1.39683,0.00110589,0.00110589,0.00110589
36,2409.83,1.38155,1.84586,1.4181,1.42822,0.76428,0.56584,0.69422,0.46481,0.76778,0.56838,0.69829,0.47222,1.239,1.72622,1.30115,1.38726,0.00108938,0.00108938,0.00108938
37,2477.03,1.36166,1.82144,1.42289,1.4275,0.72194,0.60889,0.69545,0.46785,0.7266,0.62017,0.70273,0.47564,1.18505,1.81316,1.27344,1.37895,0.00107288,0.00107288,0.00107288
38,2543.73,1.36834,1.79571,1.38679,1.41504,0.73521,0.6233,0.70305,0.48369,0.7445,0.62577,0.7075,0.47596,1.1807,1.78448,1.23177,1.36383,0.00105638,0.00105638,0.00105638
