epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,73.8152,3.61652,5.78183,4.59681,4.03017,0.00178,0.30258,0.00403,0.00091,0.00116,0.19018,0.00119,0.00034,3.72765,5.84424,4.75414,4.1542,0.000551962,0.000551962,0.000551962
2,146.453,2.94492,4.10357,3.74787,3.20207,0.09356,0.13855,0.04092,0.01379,0.1821,0.07538,0.04025,0.01094,2.82218,4.30174,3.72678,2.70814,0.00109666,0.00109666,0.00109666
3,217.579,2.69782,3.84415,3.49489,2.89181,0.20592,0.18896,0.11793,0.05716,0.20298,0.18937,0.1197,0.05663,2.39413,3.66534,3.0998,2.38953,0.00163036,0.00163036,0.00163036
4,288.353,2.56747,3.71007,3.33488,2.68806,0.23078,0.14383,0.10455,0.04643,0.26411,0.15499,0.109,0.05178,2.48726,3.78976,3.06746,2.44437,0.00161749,0.00161749,0.00161749
5,358.409,2.44524,3.61899,3.21448,2.50884,0.40008,0.34037,0.26625,0.11889,0.40553,0.33098,0.26683,0.12764,2.06335,3.05599,2.48191,2.0741,0.00160099,0.00160099,0.00160099
6,429.058,2.31894,3.4507,3.05452,2.41663,0.34765,0.28054,0.19857,0.10709,0.34923,0.28307,0.20474,0.11393,1.97223,3.08991,2.56602,1.98513,0.00158448,0.00158448,0.00158448
7,499.221,2.24656,3.40397,2.99285,2.31188,0.46144,0.25637,0.23468,0.11893,0.47428,0.26246,0.24426,0.1315,1.97086,3.13916,2.58461,1.95763,0.00156798,0.00156798,0.00156798
8,569.935,2.18224,3.22321,2.89657,2.2713,0.42831,0.36738,0.33398,0.1869,0.42364,0.38175,0.33476,0.18839,1.73639,2.93167,2.1498,1.78521,0.00155148,0.00155148,0.00155148
9,640.385,2.10297,3.10233,2.77401,2.17571,0.44715,0.29965,0.32967,0.19352,0.45406,0.30397,0.33493,0.19853,1.68718,2.66573,2.27676,1.72727,0.00153497,0.00153497,0.00153497
10,711.148,2.05676,3.03478,2.67718,2.12842,0.52497,0.29308,0.31171,0.17933,0.53172,0.29562,0.32138,0.18151,1.66142,2.65506,2.3669,1.70578,0.00151847,0.00151847,0.00151847
11,781.183,2.00749,2.97277,2.62091,2.09476,0.52915,0.27226,0.34854,0.19631,0.52511,0.27226,0.35799,0.19723,1.66972,2.66309,2.22759,1.71736,0.00150197,0.00150197,0.00150197
12,851.698,1.94576,2.90375,2.54984,2.0452,0.48421,0.35525,0.36839,0.21297,0.46831,0.36975,0.37572,0.22522,1.60418,2.46638,2.09338,1.65159,0.00148546,0.00148546,0.00148546
13,922.534,1.93465,2.87354,2.53903,2.03252,0.49708,0.28599,0.31219,0.18763,0.50497,0.2903,0.31863,0.20099,1.61708,2.77835,2.51332,1.69205,0.00146896,0.00146896,0.00146896
14,992.337,1.91278,2.87229,2.51104,2.0111,0.56974,0.37914,0.39977,0.22993,0.57223,0.38167,0.40231,0.25219,1.57177,2.37442,2.01426,1.63206,0.00145246,0.00145246,0.00145246
15,1062.78,1.84808,2.79907,2.40831,1.94177,0.4814,0.40639,0.39918,0.2473,0.48537,0.40893,0.4027,0.24668,1.53194,2.57807,2.10685,1.60604,0.00143595,0.00143595,0.00143595
16,1133.98,1.81726,2.69662,2.33471,1.9122,0.56334,0.41616,0.45051,0.27274,0.57306,0.42555,0.45911,0.29045,1.53054,2.35551,1.94441,1.56888,0.00141945,0.00141945,0.00141945
17,1204.71,1.79598,2.67713,2.36167,1.892,0.63934,0.43181,0.43638,0.25758,0.63906,0.43201,0.43712,0.26245,1.52029,2.35321,2.00182,1.57486,0.00140295,0.00140295,0.00140295
18,1274.95,1.76039,2.62077,2.2556,1.86537,0.54138,0.44832,0.45906,0.26087,0.54814,0.46801,0.46753,0.26511,1.59226,2.37852,1.92184,1.62691,0.00138644,0.00138644,0.00138644
19,1344.54,1.75843,2.60341,2.23019,1.88319,0.68413,0.4382,0.48364,0.304,0.69081,0.44252,0.48986,0.30772,1.46417,2.23617,1.84484,1.54241,0.00136994,0.00136994,0.00136994
20,1415.16,1.71182,2.58891,2.21405,1.8172,0.6555,0.42129,0.48249,0.30545,0.64825,0.42343,0.49408,0.31515,1.46769,2.19783,1.7657,1.54013,0.00135344,0.00135344,0.00135344
21,1485.53,1.72116,2.54381,2.17847,1.8507,0.72221,0.38731,0.48051,0.26821,0.74689,0.39917,0.49183,0.25719,1.5802,2.31001,1.86584,1.62043,0.00133693,0.00133693,0.00133693
22,1555.89,1.68066,2.52048,2.13715,1.79686,0.63436,0.44841,0.49558,0.31209,0.63451,0.45976,0.50998,0.32055,1.39614,2.05036,1.75427,1.4893,0.00132043,0.00132043,0.00132043
23,1626.46,1.6642,2.46047,2.11384,1.787,0.59817,0.47064,0.49496,0.31184,0.59696,0.48603,0.50624,0.31599,1.376,2.11294,1.9353,1.50602,0.00130393,0.00130393,0.00130393
24,1696.61,1.64636,2.44125,2.10494,1.78619,0.66929,0.45221,0.52135,0.32957,0.67229,0.45475,0.53046,0.33324,1.40156,2.14723,1.76428,1.50127,0.00128742,0.00128742,0.00128742
25,1767.11,1.58322,2.33563,2.01044,1.71883,0.6169,0.4729,0.50999,0.31725,0.61665,0.47367,0.51344,0.32609,1.42453,2.07704,1.7883,1.51898,0.00127092,0.00127092,0.00127092
26,1837.48,1.59428,2.33853,1.99141,1.73929,0.69793,0.48201,0.56763,0.35161,0.69798,0.48455,0.5714,0.3594,1.42681,2.0661,1.60124,1.51222,0.00125442,0.00125442,0.00125442
27,1907.93,1.57931,2.36062,2.00655,1.72063,0.68653,0.45609,0.52646,0.32315,0.67893,0.47874,0.53912,0.33155,1.37602,2.15915,1.68813,1.47923,0.00123791,0.00123791,0.00123791
28,1978.1,1.56164,2.3377,1.96513,1.70373,0.80419,0.42579,0.53933,0.33532,0.8327,0.41894,0.54512,0.34335,1.42371,2.14755,1.68105,1.51073,0.00122141,0.00122141,0.00122141
