epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,1381.94,1.1765,1.92156,1.45705,1.39152,0.69025,0.6443,0.67506,0.45669,0.69864,0.65699,0.68467,0.44778,1.24129,1.86768,1.30353,1.36008,0.0011884,0.0011884,0.0011884
31,1428.23,1.17167,1.9261,1.43902,1.39702,0.72328,0.61494,0.67779,0.46658,0.71122,0.62732,0.68619,0.46367,1.16754,1.79003,1.25211,1.31655,0.0011719,0.0011719,0.0011719
32,1474.46,1.1651,1.87055,1.43754,1.39062,0.63907,0.60663,0.64745,0.45742,0.656,0.62023,0.6582,0.44637,1.14112,1.7855,1.3354,1.33681,0.0011554,0.0011554,0.0011554
33,1520.76,1.14689,1.84139,1.40287,1.3685,0.69084,0.59711,0.66502,0.47965,0.69353,0.59965,0.67348,0.48129,1.06554,1.7356,1.25186,1.27691,0.00113889,0.00113889,0.00113889
34,1567.29,1.12684,1.80338,1.3459,1.35772,0.64411,0.60168,0.63867,0.45297,0.64698,0.60421,0.64964,0.44126,1.15057,1.80687,1.35517,1.33322,0.00112239,0.00112239,0.00112239
35,1613.48,1.13782,1.8836,1.40473,1.35285,0.71509,0.57404,0.66271,0.47567,0.71394,0.57524,0.66689,0.45246,1.09909,1.80306,1.30353,1.30304,0.00110589,0.00110589,0.00110589
36,1659.77,1.10689,1.81385,1.33955,1.33803,0.76683,0.59406,0.68914,0.48517,0.76757,0.59482,0.68967,0.47677,1.11777,1.76371,1.24504,1.30413,0.00108938,0.00108938,0.00108938
37,1706.48,1.0945,1.76298,1.30927,1.33104,0.73946,0.64103,0.70368,0.50462,0.74346,0.64357,0.70787,0.47992,1.13022,1.7717,1.20744,1.33397,0.00107288,0.00107288,0.00107288
38,1752.33,1.06897,1.7587,1.26416,1.3103,0.74089,0.63488,0.71765,0.50473,0.74851,0.64249,0.72052,0.49647,1.11414,1.71281,1.14505,1.29697,0.00105638,0.00105638,0.00105638
39,1798.88,1.07971,1.77664,1.28837,1.30962,0.73268,0.61334,0.70844,0.49085,0.74602,0.62282,0.71482,0.49239,1.15193,1.71159,1.25326,1.33569,0.00103987,0.00103987,0.00103987
40,1844.76,1.05879,1.71573,1.2255,1.29623,0.76732,0.60804,0.72045,0.52473,0.77027,0.61058,0.72101,0.51134,1.04076,1.69504,1.1212,1.27305,0.00102337,0.00102337,0.00102337
41,1890.75,1.04213,1.70396,1.21526,1.28864,0.67616,0.61659,0.69933,0.50118,0.67338,0.61711,0.70204,0.48276,1.07886,1.71611,1.20639,1.2935,0.00100687,0.00100687,0.00100687
42,1937.87,1.04001,1.69602,1.22412,1.27381,0.84457,0.58701,0.73252,0.53121,0.85741,0.59716,0.74418,0.51422,1.06409,1.6756,1.10158,1.28151,0.000990365,0.000990365,0.000990365
43,1984.03,1.03313,1.67536,1.17373,1.26521,0.76978,0.64678,0.72586,0.52912,0.77626,0.65171,0.72762,0.51047,1.03429,1.6399,1.1154,1.25804,0.000973861,0.000973861,0.000973861
44,2030.03,1.02528,1.65486,1.18682,1.27037,0.78802,0.55713,0.70917,0.50582,0.81258,0.55745,0.71286,0.48306,1.12184,1.78673,1.24883,1.28963,0.000957358,0.000957358,0.000957358
45,2075.94,1.0277,1.6781,1.16564,1.25878,0.762,0.59604,0.69469,0.48062,0.76442,0.59858,0.7006,0.46647,1.12899,1.74629,1.28389,1.29285,0.000940855,0.000940855,0.000940855
46,2121.91,1.00028,1.64652,1.13106,1.25232,0.80091,0.64289,0.74287,0.54231,0.80629,0.6472,0.74945,0.52921,1.05522,1.68027,1.07843,1.28709,0.000924352,0.000924352,0.000924352
47,2167.56,0.99464,1.63437,1.13603,1.23603,0.77348,0.65433,0.72714,0.53168,0.80267,0.64454,0.72886,0.50452,1.01423,1.70565,1.0721,1.25038,0.000907848,0.000907848,0.000907848
48,2213.03,0.97445,1.60599,1.12459,1.23116,0.8174,0.62681,0.75097,0.55421,0.82587,0.62758,0.75349,0.54026,1.04268,1.71474,1.06763,1.26412,0.000891345,0.000891345,0.000891345
49,2258.66,0.97182,1.55558,1.08616,1.23131,0.77567,0.63415,0.73949,0.53344,0.77856,0.63822,0.74412,0.52175,1.06594,1.69016,1.08434,1.27305,0.000874842,0.000874842,0.000874842
50,2304.94,0.94979,1.54247,1.05617,1.21537,0.7466,0.64399,0.7361,0.54431,0.73022,0.68744,0.74156,0.52441,1.01044,1.72577,1.10575,1.24422,0.000858338,0.000858338,0.000858338
51,2350.68,0.96544,1.5468,1.04789,1.21016,0.75724,0.65317,0.73267,0.54235,0.76031,0.6557,0.73811,0.53464,1.06134,1.65726,1.14815,1.29531,0.000841835,0.000841835,0.000841835
52,2396.35,0.95427,1.53341,1.04035,1.21223,0.72931,0.71401,0.75397,0.54901,0.74035,0.7113,0.76139,0.53226,1.03062,1.69222,1.05339,1.26919,0.000825332,0.000825332,0.000825332
53,2442.49,0.93233,1.52324,1.02227,1.19368,0.79706,0.67327,0.77992,0.57048,0.80576,0.67908,0.78789,0.56206,1.03854,1.61804,0.99166,1.26508,0.000808828,0.000808828,0.000808828
54,2488.22,0.91279,1.5478,0.98521,1.18254,0.79951,0.66539,0.76517,0.55942,0.80255,0.66793,0.77126,0.54691,1.01849,1.63402,0.99772,1.24224,0.000792325,0.000792325,0.000792325
55,2535,0.90506,1.48906,0.9612,1.16992,0.80713,0.64837,0.75764,0.54856,0.79714,0.65802,0.75895,0.53804,1.05561,1.71646,1.01235,1.28408,0.000775822,0.000775822,0.000775822
56,2580.38,0.90485,1.48414,0.97803,1.18304,0.83463,0.61916,0.75378,0.57481,0.83234,0.61916,0.75802,0.55358,0.97097,1.62916,1.02598,1.24282,0.000759318,0.000759318,0.000759318
57,2626.46,0.89709,1.46693,0.93907,1.16206,0.73924,0.66026,0.7473,0.55613,0.74249,0.66102,0.74917,0.53306,1.01996,1.67526,1.03451,1.27109,0.000742815,0.000742815,0.000742815
58,2672.21,0.89109,1.44359,0.95085,1.17309,0.81103,0.65442,0.76809,0.55469,0.80626,0.68264,0.77141,0.53774,1.03903,1.63199,1.04193,1.24947,0.000726312,0.000726312,0.000726312
59,2717.58,0.86967,1.4394,0.93032,1.16229,0.80637,0.7005,0.77997,0.5677,0.81306,0.70616,0.78717,0.55113,1.02797,1.66096,0.98323,1.26836,0.000709809,0.000709809,0.000709809
