epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,1581.46,1.19425,1.96443,1.52209,1.34261,0.71092,0.54563,0.63095,0.43035,0.69076,0.54834,0.63701,0.4229,1.18355,1.86757,1.35488,1.33063,0.0011884,0.0011884,0.0011884
31,1633.25,1.20495,1.97824,1.50261,1.36032,0.68696,0.61071,0.65746,0.44028,0.68696,0.61071,0.66162,0.43503,1.19953,1.82084,1.33781,1.29508,0.0011719,0.0011719,0.0011719
32,1685.85,1.17843,1.91862,1.50706,1.343,0.72376,0.55701,0.65095,0.45831,0.76666,0.54598,0.65222,0.44856,1.15441,1.83405,1.28778,1.29354,0.0011554,0.0011554,0.0011554
33,1737.64,1.15623,1.88624,1.4353,1.31045,0.77453,0.60369,0.69976,0.4925,0.76561,0.61485,0.70419,0.49845,1.11646,1.76964,1.32456,1.28567,0.00113889,0.00113889,0.00113889
34,1789.98,1.14164,1.86139,1.41051,1.30878,0.73631,0.60563,0.67995,0.48057,0.73964,0.60817,0.68797,0.47181,1.10171,1.77022,1.29741,1.24559,0.00112239,0.00112239,0.00112239
35,1841.5,1.14947,1.92859,1.46214,1.30388,0.76419,0.55624,0.66966,0.46811,0.77026,0.55774,0.66506,0.45217,1.1036,1.83399,1.26995,1.27158,0.00110589,0.00110589,0.00110589
36,1893.8,1.12082,1.86921,1.39333,1.2842,0.76347,0.6187,0.68667,0.47558,0.76944,0.61184,0.69648,0.46958,1.1506,1.76389,1.24538,1.29711,0.00108938,0.00108938,0.00108938
37,1945.98,1.10475,1.80892,1.36459,1.26437,0.78468,0.55951,0.67362,0.47878,0.76644,0.56555,0.67207,0.4599,1.11156,1.8283,1.25752,1.27585,0.00107288,0.00107288,0.00107288
38,1997.64,1.07506,1.78277,1.33087,1.25304,0.76615,0.58641,0.67778,0.48371,0.76992,0.58803,0.67912,0.48056,1.08141,1.7172,1.21581,1.25783,0.00105638,0.00105638,0.00105638
39,2049.48,1.08693,1.81223,1.32687,1.25033,0.78695,0.62869,0.71918,0.51145,0.78951,0.63123,0.72393,0.50865,1.12053,1.69527,1.17167,1.26183,0.00103987,0.00103987,0.00103987
40,2101.54,1.05675,1.75031,1.2848,1.24023,0.7418,0.63874,0.72348,0.5154,0.73666,0.64638,0.72737,0.51397,1.13623,1.77068,1.1531,1.27429,0.00102337,0.00102337,0.00102337
41,2154.43,1.04627,1.73505,1.25796,1.23273,0.76584,0.57504,0.6726,0.47611,0.77397,0.58089,0.67996,0.46235,1.11816,1.75832,1.25293,1.24406,0.00100687,0.00100687,0.00100687
42,2206.31,1.05944,1.74397,1.28328,1.23392,0.75625,0.62817,0.70159,0.50257,0.75976,0.63022,0.7023,0.48787,1.08201,1.74848,1.14694,1.24553,0.000990365,0.000990365,0.000990365
43,2258.12,1.04206,1.70059,1.21939,1.21954,0.79743,0.59921,0.68499,0.48849,0.80545,0.60682,0.69021,0.47508,1.09655,1.65797,1.21286,1.25028,0.000973861,0.000973861,0.000973861
44,2310.23,1.0427,1.71669,1.23892,1.22302,0.6981,0.61482,0.68128,0.48441,0.73161,0.61656,0.68578,0.47201,1.1362,1.74129,1.29647,1.25653,0.000957358,0.000957358,0.000957358
45,2362.08,1.03793,1.71525,1.22045,1.21318,0.8497,0.5626,0.71725,0.51637,0.85377,0.56513,0.71605,0.49272,1.09109,1.72396,1.16891,1.24525,0.000940855,0.000940855,0.000940855
46,2414.82,1.01869,1.69707,1.17375,1.19884,0.81151,0.60345,0.72064,0.52069,0.81151,0.60345,0.71933,0.50523,1.07667,1.72544,1.15388,1.24756,0.000924352,0.000924352,0.000924352
47,2467.8,1.01089,1.68443,1.1961,1.19513,0.80393,0.56926,0.69572,0.49319,0.80725,0.57179,0.69484,0.47666,1.08284,1.64992,1.19038,1.26519,0.000907848,0.000907848,0.000907848
48,2519.82,0.9826,1.64566,1.16061,1.18461,0.83996,0.61957,0.71857,0.52289,0.83232,0.62645,0.72133,0.50674,1.07023,1.72558,1.14196,1.21818,0.000891345,0.000891345,0.000891345
49,2572.26,0.96749,1.59322,1.12617,1.17063,0.83664,0.60195,0.7219,0.52818,0.83721,0.60272,0.72372,0.51565,1.03402,1.63608,1.15825,1.19541,0.000874842,0.000874842,0.000874842
50,2625.03,0.95813,1.58857,1.10471,1.16701,0.76129,0.65427,0.72556,0.52739,0.77155,0.66442,0.72834,0.51398,1.07199,1.7549,1.12056,1.23014,0.000858338,0.000858338,0.000858338
51,2676.68,0.97262,1.6096,1.10618,1.16831,0.73144,0.64023,0.71397,0.52179,0.7402,0.64785,0.71857,0.51244,1.04746,1.70458,1.14115,1.22385,0.000841835,0.000841835,0.000841835
52,2728.62,0.95091,1.54936,1.0871,1.15673,0.78286,0.62346,0.72844,0.53334,0.79242,0.63107,0.73511,0.50624,1.04193,1.66755,1.12346,1.20896,0.000825332,0.000825332,0.000825332
53,2780.15,0.93141,1.56619,1.06726,1.1466,0.80577,0.67778,0.75336,0.54884,0.812,0.67763,0.7503,0.53486,1.02209,1.6018,1.03427,1.20675,0.000808828,0.000808828,0.000808828
54,2832.93,0.92332,1.59184,1.04334,1.14113,0.84867,0.62698,0.73871,0.54282,0.85184,0.62951,0.74688,0.52436,1.02635,1.61719,1.08248,1.19684,0.000792325,0.000792325,0.000792325
55,2884.37,0.92054,1.53501,1.02521,1.13295,0.86804,0.6321,0.74279,0.53903,0.86885,0.63287,0.74548,0.52601,1.04013,1.6904,1.08537,1.20918,0.000775822,0.000775822,0.000775822
56,2935.52,0.90597,1.51471,1.01392,1.12585,0.77881,0.64605,0.73042,0.53999,0.78138,0.64859,0.7326,0.52268,1.02468,1.68045,1.07566,1.21025,0.000759318,0.000759318,0.000759318
57,2987.78,0.90138,1.50363,0.98823,1.11765,0.82368,0.61505,0.71796,0.5315,0.8234,0.62066,0.72181,0.51208,1.01589,1.69203,1.0971,1.18856,0.000742815,0.000742815,0.000742815
58,3040.01,0.9057,1.47402,1.01158,1.12497,0.80321,0.59958,0.72261,0.5294,0.81653,0.6085,0.73264,0.5084,1.07011,1.6016,1.11917,1.22348,0.000726312,0.000726312,0.000726312
59,3092.19,0.88931,1.48752,0.98019,1.11651,0.76125,0.67194,0.73662,0.54003,0.77524,0.65381,0.73698,0.5161,1.045,1.59009,1.07581,1.20049,0.000709809,0.000709809,0.000709809
60,3144.41,0.88644,1.46681,0.98033,1.11689,0.73498,0.69413,0.74051,0.55459,0.73949,0.69844,0.74965,0.52826,0.9991,1.61332,1.03991,1.1931,0.000693305,0.000693305,0.000693305
61,3197.12,0.89481,1.49054,0.97559,1.10219,0.85283,0.59281,0.74905,0.55915,0.85895,0.59712,0.7495,0.53818,0.98759,1.57741,1.02267,1.17257,0.000676802,0.000676802,0.000676802
62,3249.82,0.86778,1.41667,0.94232,1.09752,0.78417,0.63928,0.73814,0.5413,0.78715,0.64182,0.74027,0.52893,1.02889,1.57083,1.05297,1.20382,0.000660299,0.000660299,0.000660299
63,3302.11,0.86443,1.46055,0.93165,1.09584,0.78558,0.61993,0.74164,0.55008,0.79475,0.61562,0.74558,0.52729,1.00439,1.57791,1.02718,1.18814,0.000643795,0.000643795,0.000643795
64,3354.68,0.85774,1.43629,0.93407,1.08292,0.81435,0.60219,0.72889,0.53782,0.82058,0.60564,0.73386,0.5233,0.99375,1.55902,1.06194,1.1904,0.000627292,0.000627292,0.000627292
65,3407.04,0.83924,1.4099,0.90483,1.08355,0.85101,0.63262,0.74949,0.55589,0.83032,0.63205,0.74875,0.53884,0.98108,1.51922,1.00829,1.1853,0.000610789,0.000610789,0.000610789
66,3459.3,0.84327,1.37583,0.91152,1.07906,0.79962,0.67952,0.75651,0.56217,0.80534,0.6846,0.76223,0.54837,0.9987,1.5519,1.01079,1.19737,0.000594286,0.000594286,0.000594286
67,3511.97,0.85937,1.41766,0.89039,1.09275,0.81198,0.63742,0.73878,0.55595,0.81747,0.64173,0.74555,0.5412,1.00153,1.57092,1.06019,1.18609,0.000577782,0.000577782,0.000577782
68,3564.14,0.84034,1.40333,0.88556,1.0739,0.84926,0.61883,0.75384,0.55847,0.85253,0.61735,0.74979,0.53745,0.99823,1.58821,1.03322,1.19239,0.000561279,0.000561279,0.000561279
69,3616.54,0.82848,1.40843,0.87386,1.06894,0.81238,0.62525,0.73586,0.55864,0.83653,0.62871,0.73988,0.53614,0.9884,1.63108,1.06536,1.16795,0.000544776,0.000544776,0.000544776
70,3668.77,0.80818,1.37195,0.84158,1.05549,0.78653,0.66711,0.76203,0.56709,0.79546,0.67472,0.76153,0.55129,0.98195,1.69825,1.02036,1.18447,0.000528272,0.000528272,0.000528272
71,3722.34,0.79189,1.32788,0.8322,1.06499,0.81165,0.64931,0.75355,0.56672,0.82533,0.65858,0.76206,0.55699,0.95988,1.60324,1.0471,1.15405,0.000511769,0.000511769,0.000511769
72,3775.51,0.79195,1.32783,0.83266,1.05793,0.84177,0.65501,0.76121,0.5718,0.8507,0.65603,0.75841,0.55103,0.94858,1.60038,1.00968,1.16037,0.000495266,0.000495266,0.000495266
73,3827.92,0.80383,1.35171,0.82963,1.05735,0.80817,0.66361,0.75932,0.56382,0.81726,0.67122,0.76453,0.55115,0.99232,1.62653,0.97882,1.16676,0.000478762,0.000478762,0.000478762
74,3879.68,0.78338,1.32892,0.80077,1.04224,0.85934,0.64187,0.76627,0.57894,0.86795,0.64321,0.7651,0.55639,0.9353,1.62181,0.97301,1.16028,0.000462259,0.000462259,0.000462259
75,3932.55,0.78905,1.29868,0.80924,1.0439,0.81911,0.68357,0.76728,0.57081,0.82222,0.6861,0.76332,0.55382,0.94611,1.62977,0.97906,1.16786,0.000445756,0.000445756,0.000445756
76,3984.3,0.79006,1.32879,0.79544,1.04476,0.85534,0.68254,0.78041,0.58029,0.85656,0.68331,0.77721,0.56555,0.96514,1.6106,0.96035,1.16856,0.000429253,0.000429253,0.000429253
77,4036.76,0.78056,1.30636,0.78432,1.04746,0.79482,0.69548,0.76277,0.57587,0.79482,0.69548,0.76204,0.55971,0.934,1.61948,0.99123,1.15728,0.000412749,0.000412749,0.000412749
78,4088.75,0.77849,1.30413,0.79868,1.04539,0.81048,0.67112,0.76457,0.5704,0.80613,0.65835,0.75892,0.55397,0.97398,1.52089,0.99895,1.16842,0.000396246,0.000396246,0.000396246
79,4140.46,0.75486,1.2667,0.76885,1.02381,0.81505,0.68713,0.75829,0.5628,0.82669,0.69122,0.76297,0.55213,0.95725,1.64282,0.98399,1.15978,0.000379743,0.000379743,0.000379743
80,4192.16,0.74764,1.26616,0.75544,1.02794,0.81577,0.66429,0.762,0.57642,0.84135,0.64298,0.75819,0.56199,0.95499,1.66388,0.9887,1.16691,0.000363239,0.000363239,0.000363239
81,4243.78,0.7547,1.28586,0.76192,1.02928,0.85723,0.63057,0.75366,0.57263,0.86096,0.6331,0.75449,0.55801,0.94881,1.6496,1.0142,1.15929,0.000346736,0.000346736,0.000346736
82,4295.96,0.74708,1.26769,0.75893,1.03281,0.81512,0.67016,0.7783,0.5873,0.82356,0.67493,0.77837,0.5673,0.92374,1.61412,0.9394,1.1573,0.000330233,0.000330233,0.000330233
83,4348.31,0.74777,1.25626,0.74108,1.02259,0.81553,0.7074,0.78523,0.57925,0.82287,0.71349,0.7865,0.56744,0.94273,1.61168,0.93929,1.15608,0.000313729,0.000313729,0.000313729
84,4400.13,0.72953,1.22668,0.71503,1.01121,0.81684,0.69572,0.77549,0.58644,0.80728,0.71018,0.78051,0.56875,0.93717,1.61094,0.95852,1.15875,0.000297226,0.000297226,0.000297226
85,4452.28,0.72115,1.21504,0.70594,1.00856,0.81752,0.68889,0.77937,0.58639,0.82466,0.69497,0.78285,0.57404,0.92855,1.64191,0.93119,1.15386,0.000280723,0.000280723,0.000280723
86,4505.73,0.71989,1.20301,0.70586,1.0041,0.84893,0.67444,0.77605,0.58327,0.85233,0.67698,0.77513,0.56861,0.946,1.63929,0.94622,1.16677,0.00026422,0.00026422,0.00026422
87,4558.2,0.71818,1.22086,0.70997,1.01361,0.7788,0.70479,0.77291,0.5766,0.78162,0.70733,0.76767,0.5587,0.93766,1.64606,0.95202,1.1623,0.000247716,0.000247716,0.000247716
88,4610.1,0.71982,1.22679,0.70515,1.01207,0.76339,0.73745,0.78713,0.5994,0.76339,0.73745,0.7852,0.58111,0.92336,1.61548,0.91068,1.14965,0.000231213,0.000231213,0.000231213
89,4663.09,0.70862,1.21459,0.68547,1.0036,0.88655,0.65237,0.78638,0.59018,0.88682,0.65328,0.7802,0.57296,0.91281,1.63128,0.91977,1.14623,0.00021471,0.00021471,0.00021471
90,4714.76,0.70569,1.21006,0.67513,0.99863,0.8552,0.64943,0.78297,0.58937,0.8658,0.65704,0.78131,0.57255,0.91305,1.6277,0.92308,1.14666,0.000198206,0.000198206,0.000198206
91,4802.66,0.6648,1.18814,0.61723,0.97606,0.8716,0.63928,0.78028,0.58464,0.86133,0.65591,0.78188,0.56761,0.95051,1.61455,0.92612,1.15911,0.000181703,0.000181703,0.000181703
92,4854.22,0.64975,1.1641,0.58199,0.96395,0.77815,0.69781,0.78296,0.5957,0.78421,0.70289,0.78396,0.57604,0.9141,1.61191,0.92591,1.14059,0.0001652,0.0001652,0.0001652
93,4905.55,0.65084,1.15624,0.57341,0.96647,0.77763,0.72404,0.77887,0.594,0.78379,0.72573,0.78268,0.58116,0.92075,1.62671,0.92796,1.15424,0.000148696,0.000148696,0.000148696
94,4957.33,0.63903,1.1367,0.56174,0.96127,0.87231,0.64805,0.77394,0.58852,0.87117,0.64805,0.77725,0.57885,0.91783,1.60951,0.9612,1.14878,0.000132193,0.000132193,0.000132193
95,5009.13,0.64326,1.14537,0.56491,0.96125,0.83854,0.68762,0.78147,0.5958,0.8452,0.6927,0.78426,0.58117,0.90996,1.60453,0.96054,1.14706,0.00011569,0.00011569,0.00011569
96,5060.7,0.63359,1.11425,0.54067,0.95824,0.83802,0.69502,0.78309,0.59566,0.84473,0.70092,0.7811,0.57992,0.90962,1.62787,0.95208,1.14106,9.91865e-05,9.91865e-05,9.91865e-05
97,5112.59,0.628,1.1214,0.53471,0.95257,0.83235,0.7086,0.79254,0.60135,0.83518,0.7134,0.78725,0.58294,0.90176,1.6279,0.92171,1.13823,8.26832e-05,8.26832e-05,8.26832e-05
98,5165.3,0.60279,1.07222,0.51593,0.94054,0.82435,0.69583,0.78717,0.60573,0.83581,0.70484,0.78581,0.58788,0.89156,1.60443,0.94188,1.13147,6.61799e-05,6.61799e-05,6.61799e-05
99,5217.77,0.61759,1.10209,0.52448,0.95044,0.80573,0.71171,0.79608,0.60665,0.81447,0.71856,0.79139,0.59395,0.88373,1.61255,0.90488,1.13199,4.96766e-05,4.96766e-05,4.96766e-05
100,5271.64,0.61382,1.09891,0.51768,0.94353,0.81366,0.71349,0.79206,0.60642,0.82197,0.72034,0.79202,0.59356,0.89793,1.5909,0.91468,1.13697,3.31733e-05,3.31733e-05,3.31733e-05
