epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
27,960.531,0.83264,0.23757,0.34499,0.75226,1.26884,0.94855,0.95113,0.98282,0.80468,0.94537,0.96139,0.97419,0.92516,0.67744,0.26026,0.17681,0.45201,1.11483,0.0014852,0.0014852,0.0014852
28,995.382,0.82211,0.22489,0.33771,0.74363,1.26522,0.95305,0.94841,0.9861,0.77963,0.93927,0.94444,0.97508,0.91486,0.70949,0.27841,0.19693,0.4923,1.15619,0.0014654,0.0014654,0.0014654
29,1029.78,0.81641,0.22414,0.34226,0.73958,1.26628,0.9335,0.94697,0.98108,0.80697,0.9335,0.94697,0.97843,0.93892,0.66436,0.23917,0.18633,0.48877,1.11934,0.0014456,0.0014456,0.0014456
30,1064.91,0.79288,0.21702,0.32555,0.71496,1.24751,0.97949,0.93254,0.98795,0.8268,0.96681,0.92473,0.98371,0.93999,0.64441,0.24452,0.20478,0.44399,1.10647,0.0014258,0.0014258,0.0014258
31,1100.01,0.78867,0.22245,0.33,0.71976,1.24528,0.96366,0.94699,0.97776,0.7945,0.96107,0.94444,0.97527,0.924,0.64826,0.2411,0.19242,0.45454,1.10736,0.001406,0.001406,0.001406
32,1134.13,0.79477,0.21568,0.33584,0.71979,1.24466,0.94136,0.95635,0.98429,0.80905,0.93043,0.94841,0.97904,0.93588,0.64119,0.25045,0.17699,0.44772,1.11399,0.0013862,0.0013862,0.0013862
33,1168.55,0.78158,0.19664,0.31915,0.69287,1.23933,0.94191,0.92857,0.98216,0.79463,0.92772,0.94048,0.97905,0.93309,0.65499,0.24595,0.16502,0.49918,1.12074,0.0013664,0.0013664,0.0013664
34,1203.03,0.79598,0.2036,0.31511,0.70278,1.24082,0.95264,0.95794,0.98683,0.80932,0.95501,0.96032,0.97965,0.93868,0.67644,0.2264,0.19226,0.4687,1.13518,0.0013466,0.0013466,0.0013466
35,1237.92,0.76383,0.20096,0.31394,0.67182,1.22781,0.94777,0.94048,0.98307,0.80366,0.95176,0.94444,0.97795,0.92464,0.62919,0.25723,0.18707,0.46821,1.1023,0.0013268,0.0013268,0.0013268
36,1272.94,0.74904,0.20384,0.3145,0.67456,1.21763,0.95292,0.96393,0.98764,0.84406,0.949,0.95996,0.97914,0.93503,0.5662,0.2217,0.16066,0.41768,1.02321,0.001307,0.001307,0.001307
37,1308.34,0.75775,0.21092,0.31274,0.66599,1.21291,0.94254,0.97645,0.98854,0.80974,0.94461,0.97619,0.98022,0.93885,0.63808,0.22253,0.18934,0.45551,1.10733,0.0012872,0.0012872,0.0012872
38,1344.24,0.7539,0.19542,0.31972,0.67162,1.20919,0.95283,0.96193,0.98899,0.83647,0.9489,0.95796,0.98091,0.93345,0.6146,0.22461,0.18002,0.43482,1.09831,0.0012674,0.0012674,0.0012674
39,1379.96,0.74792,0.20335,0.3124,0.66708,1.21152,0.97136,0.97619,0.98971,0.85146,0.96741,0.97222,0.98715,0.95371,0.59927,0.20282,0.17444,0.39784,1.06881,0.0012476,0.0012476,0.0012476
40,1415.77,0.71582,0.18192,0.2949,0.64202,1.18659,0.96698,0.97222,0.99178,0.83732,0.95354,0.96032,0.9818,0.94807,0.57478,0.18996,0.1559,0.39102,1.0384,0.0012278,0.0012278,0.0012278
41,1450.96,0.73533,0.19431,0.3081,0.63934,1.19849,0.97528,0.98413,0.9936,0.85048,0.9673,0.97619,0.98738,0.94864,0.58097,0.2092,0.15912,0.37808,1.04328,0.001208,0.001208,0.001208
42,1486.18,0.72597,0.18833,0.30182,0.63196,1.19559,0.97236,0.97712,0.99216,0.85974,0.96446,0.96918,0.98846,0.95744,0.5515,0.19478,0.18179,0.36268,1.01778,0.0011882,0.0011882,0.0011882
43,1522.95,0.7217,0.18832,0.29693,0.63223,1.19524,0.98319,0.97222,0.9922,0.85286,0.96684,0.95635,0.97664,0.93821,0.58039,0.20381,0.15313,0.37137,1.03557,0.0011684,0.0011684,0.0011684
44,1558.17,0.70512,0.17686,0.28435,0.60454,1.1836,0.95967,0.97619,0.99182,0.8658,0.95666,0.97222,0.98629,0.95246,0.53414,0.17879,0.15753,0.35119,0.99127,0.0011486,0.0011486,0.0011486
45,1593.91,0.70496,0.17674,0.29021,0.61494,1.18384,0.9725,0.98248,0.99354,0.86906,0.96072,0.97058,0.98296,0.95006,0.53756,0.18401,0.15776,0.34976,1.01274,0.0011288,0.0011288,0.0011288
46,1629.35,0.70609,0.19122,0.2936,0.61573,1.18705,0.96077,0.97186,0.99076,0.86117,0.95281,0.96152,0.98141,0.94849,0.54375,0.19831,0.19039,0.36765,1.01311,0.001109,0.001109,0.001109
47,1664.37,0.69561,0.16595,0.29212,0.6119,1.17856,0.9842,0.96429,0.9935,0.86441,0.97205,0.95238,0.98671,0.95557,0.55179,0.18126,0.16741,0.34203,1.0241,0.0010892,0.0010892,0.0010892
48,1699.81,0.69224,0.17356,0.29325,0.59275,1.17426,0.99069,0.97222,0.99351,0.87486,0.97452,0.95635,0.98261,0.95916,0.52854,0.1762,0.15598,0.35059,0.9954,0.0010694,0.0010694,0.0010694
49,1735.14,0.68784,0.16317,0.28471,0.5949,1.17483,0.98489,0.96429,0.99287,0.86579,0.96851,0.94841,0.97683,0.95053,0.54837,0.17957,0.17077,0.34652,1.02379,0.0010496,0.0010496,0.0010496
50,1769.94,0.66943,0.15292,0.28018,0.58418,1.16206,0.97563,0.98413,0.99373,0.87681,0.96443,0.97222,0.98489,0.95873,0.52499,0.16634,0.14831,0.33816,0.98296,0.0010298,0.0010298,0.0010298
51,1805.64,0.67906,0.14777,0.26148,0.58337,1.16284,0.98038,0.99153,0.994,0.87195,0.97253,0.9836,0.9853,0.95581,0.51769,0.17585,0.15865,0.33392,0.99141,0.00101,0.00101,0.00101
52,1840.11,0.65213,0.15595,0.2774,0.55311,1.13953,0.9571,0.97391,0.98668,0.86361,0.9532,0.96994,0.98086,0.95233,0.51484,0.16601,0.15927,0.37209,0.983,0.0009902,0.0009902,0.0009902
53,1874.61,0.64749,0.14682,0.26375,0.55733,1.13967,0.97251,0.98264,0.99397,0.87728,0.96468,0.97533,0.9921,0.9651,0.51028,0.15292,0.1521,0.32861,0.97495,0.0009704,0.0009704,0.0009704
54,1909.89,0.65851,0.15802,0.27606,0.57048,1.14989,0.96689,0.97222,0.99203,0.87828,0.96429,0.96443,0.9871,0.96689,0.48663,0.15155,0.1466,0.33379,0.96102,0.0009506,0.0009506,0.0009506
55,1945.66,0.63974,0.1457,0.26418,0.55927,1.13718,0.97995,0.96986,0.99317,0.8889,0.97193,0.96192,0.98787,0.96498,0.48634,0.14882,0.13683,0.32145,0.95659,0.0009308,0.0009308,0.0009308
56,1982,0.65417,0.14313,0.27686,0.54864,1.14816,0.98804,0.98325,0.99403,0.89323,0.97106,0.9881,0.99104,0.96588,0.4886,0.14816,0.15678,0.31072,0.95582,0.000911,0.000911,0.000911
57,2018.15,0.63193,0.14211,0.25827,0.54323,1.13951,0.96752,0.9881,0.99352,0.89338,0.95975,0.98016,0.98301,0.9609,0.50507,0.1381,0.14323,0.30466,0.97183,0.0008912,0.0008912,0.0008912
58,2053.28,0.62599,0.149,0.2617,0.53307,1.13204,0.98122,0.98413,0.9946,0.88952,0.97331,0.97619,0.99007,0.96546,0.50747,0.14927,0.15019,0.29876,0.9638,0.0008714,0.0008714,0.0008714
59,2088.55,0.63587,0.14044,0.25052,0.54273,1.13407,0.97638,0.97222,0.99186,0.88709,0.96423,0.96032,0.98799,0.96297,0.47114,0.13773,0.14044,0.31131,0.94134,0.0008516,0.0008516,0.0008516
60,2124.12,0.62677,0.12778,0.25831,0.53607,1.13139,0.9827,0.9881,0.99389,0.89908,0.97326,0.98016,0.98921,0.96758,0.46115,0.1314,0.13267,0.32115,0.9239,0.0008318,0.0008318,0.0008318
61,2160.87,0.6216,0.13806,0.25179,0.53077,1.13158,0.99166,0.98016,0.99437,0.89406,0.97955,0.96825,0.98645,0.96504,0.47504,0.14732,0.1183,0.2887,0.94617,0.000812,0.000812,0.000812
62,2195.95,0.60303,0.13087,0.24691,0.51489,1.11679,0.97651,0.98999,0.9942,0.90553,0.9647,0.97619,0.98845,0.96589,0.45152,0.14248,0.14201,0.28485,0.92103,0.0007922,0.0007922,0.0007922
63,2231.16,0.60555,0.13218,0.2476,0.52156,1.11405,0.99544,0.99206,0.99496,0.91122,0.98732,0.98413,0.99344,0.97369,0.44861,0.13093,0.12343,0.27855,0.92614,0.0007724,0.0007724,0.0007724
64,2266.06,0.60076,0.12347,0.23934,0.5051,1.10814,0.97508,0.98016,0.993,0.90098,0.97059,0.94444,0.98214,0.955,0.4486,0.16463,0.14944,0.28833,0.92255,0.0007526,0.0007526,0.0007526
65,2300.19,0.5916,0.12432,0.23337,0.50725,1.10644,0.98427,0.99301,0.99472,0.91384,0.9774,0.97619,0.98695,0.96604,0.44547,0.13249,0.12474,0.26825,0.92201,0.0007328,0.0007328,0.0007328
66,2334.76,0.59104,0.12435,0.2327,0.50229,1.11365,0.97632,0.98016,0.9944,0.90121,0.97236,0.97704,0.99054,0.97412,0.46888,0.12494,0.11953,0.28958,0.94066,0.000713,0.000713,0.000713
67,2369.66,0.58976,0.12536,0.23769,0.50629,1.11325,0.96139,0.98799,0.99281,0.88154,0.95752,0.98402,0.99126,0.97327,0.46849,0.11979,0.10141,0.2982,0.92543,0.0006932,0.0006932,0.0006932
68,2404.31,0.58752,0.12716,0.23793,0.48851,1.10264,0.97558,0.99206,0.994,0.91002,0.96381,0.98016,0.98492,0.96671,0.42698,0.12386,0.11678,0.274,0.89912,0.0006734,0.0006734,0.0006734
69,2439.18,0.57286,0.11859,0.23364,0.4808,1.10054,0.99597,0.97969,0.99469,0.92017,0.98387,0.96793,0.99215,0.97756,0.40904,0.11038,0.11627,0.26129,0.8895,0.0006536,0.0006536,0.0006536
70,2475.72,0.57323,0.12467,0.22893,0.48682,1.0971,0.98477,0.9881,0.9948,0.91056,0.97679,0.98016,0.99135,0.97526,0.43426,0.11446,0.09593,0.28451,0.91493,0.0006338,0.0006338,0.0006338
71,2511.84,0.55517,0.1113,0.21695,0.47091,1.0832,0.97672,0.99895,0.99461,0.91286,0.97284,0.99498,0.99313,0.97946,0.42551,0.10902,0.10423,0.26203,0.89089,0.000614,0.000614,0.000614
72,2549.97,0.56202,0.11455,0.22977,0.47991,1.09017,0.9881,0.98843,0.99488,0.91498,0.9762,0.97667,0.98536,0.96986,0.42847,0.11408,0.11136,0.25757,0.89541,0.0005942,0.0005942,0.0005942
73,2587.75,0.57166,0.11525,0.21614,0.4774,1.09343,0.996,0.98752,0.9948,0.91692,0.98004,0.97444,0.98781,0.97655,0.41687,0.10471,0.09871,0.25094,0.89191,0.0005744,0.0005744,0.0005744
74,2625.27,0.55712,0.10923,0.21034,0.45515,1.0849,0.98425,0.99184,0.99448,0.92381,0.97243,0.97994,0.98438,0.97541,0.40735,0.09853,0.10656,0.25421,0.88428,0.0005546,0.0005546,0.0005546
75,2663.2,0.55807,0.11852,0.21823,0.46737,1.09432,0.98036,0.99041,0.99456,0.9204,0.97253,0.98349,0.99199,0.97691,0.40645,0.10334,0.11257,0.24862,0.89103,0.0005348,0.0005348,0.0005348
76,2700.24,0.55404,0.10506,0.20749,0.46388,1.08682,0.99212,0.99891,0.99492,0.91979,0.98294,0.98016,0.98428,0.97237,0.4059,0.10043,0.10593,0.23751,0.88981,0.000515,0.000515,0.000515
77,2736.9,0.54786,0.10666,0.21456,0.45725,1.08543,0.99548,1,0.99496,0.92511,0.9803,0.98016,0.98888,0.97369,0.39897,0.10354,0.0989,0.2318,0.88384,0.0004952,0.0004952,0.0004952
78,2774.41,0.54111,0.09994,0.2043,0.44199,1.07325,0.99172,0.99603,0.99488,0.9216,0.98379,0.9881,0.98599,0.97179,0.40443,0.09746,0.0987,0.24368,0.89563,0.0004754,0.0004754,0.0004754
79,2810.03,0.54218,0.10531,0.21222,0.44732,1.06986,0.99178,0.99206,0.99484,0.92816,0.98379,0.98413,0.99051,0.97504,0.38627,0.10335,0.09389,0.24261,0.86648,0.0004556,0.0004556,0.0004556
80,2846.42,0.53796,0.09953,0.20513,0.45866,1.07417,0.9795,0.99206,0.99468,0.92051,0.96383,0.97619,0.9861,0.97245,0.39631,0.10116,0.08736,0.25029,0.8738,0.0004358,0.0004358,0.0004358
81,2881.89,0.52617,0.09346,0.20021,0.4457,1.06996,0.98822,0.999,0.99488,0.9334,0.98037,0.99113,0.99315,0.98081,0.38079,0.09355,0.0824,0.23482,0.86954,0.000416,0.000416,0.000416
82,2917.89,0.5254,0.09421,0.19462,0.42454,1.07039,0.99951,0.99603,0.995,0.92606,0.99552,0.99206,0.99253,0.98053,0.38048,0.09587,0.08801,0.23733,0.86901,0.0003962,0.0003962,0.0003962
83,2953.37,0.52123,0.09594,0.19314,0.42654,1.05935,0.99602,0.994,0.995,0.93681,0.99205,0.99003,0.9926,0.98394,0.36998,0.08482,0.08407,0.22008,0.8592,0.0003764,0.0003764,0.0003764
84,2989.54,0.51826,0.09723,0.18842,0.43315,1.06368,0.99849,1,0.995,0.94211,0.98654,0.9881,0.9905,0.97913,0.36565,0.08881,0.08236,0.21354,0.8601,0.0003566,0.0003566,0.0003566
85,3025.71,0.51206,0.09656,0.18873,0.4125,1.05809,0.99899,1,0.995,0.93936,0.98707,0.9881,0.99148,0.98146,0.35846,0.08548,0.07943,0.21772,0.85122,0.0003368,0.0003368,0.0003368
86,3061.16,0.50367,0.09298,0.19256,0.4219,1.0531,1,0.99583,0.995,0.9405,0.98794,0.98413,0.98942,0.98235,0.35024,0.08031,0.07664,0.21349,0.84144,0.000317,0.000317,0.000317
87,3097.47,0.50538,0.09078,0.18055,0.41019,1.05222,0.99126,0.99603,0.99436,0.9385,0.97941,0.98413,0.9911,0.98333,0.34725,0.08177,0.07684,0.21356,0.82918,0.0002972,0.0002972,0.0002972
88,3132.75,0.4987,0.08587,0.18452,0.41257,1.05282,0.99508,1,0.99496,0.93716,0.97926,0.98413,0.98489,0.97774,0.35199,0.07711,0.06759,0.20711,0.83944,0.0002774,0.0002774,0.0002774
89,3169.53,0.48585,0.08134,0.17925,0.39715,1.05174,1,0.99594,0.995,0.9341,0.99203,0.98821,0.99296,0.98408,0.3555,0.07838,0.06643,0.21047,0.8363,0.0002576,0.0002576,0.0002576
90,3204.97,0.48765,0.08718,0.18338,0.4032,1.04593,0.99212,0.99934,0.99492,0.94074,0.9803,0.98744,0.99193,0.98339,0.34666,0.07794,0.06593,0.20406,0.83344,0.0002378,0.0002378,0.0002378
