epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,1591.32,1.20853,1.98859,1.49916,1.37839,0.74053,0.61114,0.686,0.46855,0.76336,0.60853,0.69096,0.46149,1.15148,1.80247,1.25608,1.31148,0.0011884,0.0011884,0.0011884
31,1643.39,1.18022,1.96327,1.44476,1.36518,0.70681,0.64611,0.69789,0.49648,0.70681,0.64611,0.69991,0.4814,1.13334,1.8068,1.21389,1.2873,0.0011719,0.0011719,0.0011719
32,1696.41,1.18558,1.91552,1.46342,1.36299,0.73014,0.55521,0.64754,0.44512,0.73443,0.5556,0.65241,0.43854,1.18992,1.89943,1.3815,1.32534,0.0011554,0.0011554,0.0011554
33,1748.58,1.16488,1.88068,1.41481,1.33045,0.81416,0.60612,0.72721,0.5039,0.81088,0.60358,0.73122,0.50397,1.08865,1.79397,1.23197,1.26209,0.00113889,0.00113889,0.00113889
34,1801.68,1.12859,1.84057,1.36649,1.31292,0.74443,0.57437,0.66398,0.45823,0.76082,0.56767,0.67158,0.44712,1.15057,1.83723,1.29079,1.28911,0.00112239,0.00112239,0.00112239
35,1853.74,1.12773,1.9321,1.40978,1.30327,0.79755,0.60035,0.70407,0.5022,0.82385,0.59333,0.70804,0.48552,1.11169,1.8667,1.18501,1.27641,0.00110589,0.00110589,0.00110589
36,1905.85,1.11716,1.87969,1.36164,1.30019,0.85537,0.59966,0.73214,0.51588,0.86148,0.61569,0.74202,0.49824,1.11899,1.7294,1.11628,1.25818,0.00108938,0.00108938,0.00108938
37,1957.94,1.0895,1.79705,1.30272,1.27326,0.72482,0.67399,0.73237,0.52292,0.72711,0.67653,0.73534,0.50312,1.07483,1.77805,1.14325,1.24472,0.00107288,0.00107288,0.00107288
38,2010.29,1.07837,1.8108,1.2819,1.2703,0.72283,0.61869,0.70132,0.50089,0.73564,0.62884,0.71796,0.48836,1.07469,1.71712,1.19697,1.25031,0.00105638,0.00105638,0.00105638
39,2062.55,1.07389,1.79712,1.27368,1.26389,0.75676,0.64962,0.72455,0.51217,0.78894,0.64261,0.73462,0.50747,1.08136,1.74495,1.13142,1.24608,0.00103987,0.00103987,0.00103987
40,2114.55,1.06253,1.76514,1.2462,1.26005,0.87481,0.6155,0.73234,0.53587,0.86799,0.62254,0.73568,0.52002,1.07206,1.8129,1.12037,1.25467,0.00102337,0.00102337,0.00102337
41,2166.95,1.03853,1.73941,1.2206,1.24932,0.78071,0.62815,0.73528,0.52431,0.7889,0.63416,0.74119,0.50234,1.06547,1.74322,1.1177,1.23456,0.00100687,0.00100687,0.00100687
42,2219.21,1.03762,1.71893,1.22278,1.23314,0.81304,0.63644,0.73791,0.53551,0.81582,0.63898,0.74475,0.51075,1.08002,1.69872,1.06276,1.22844,0.000990365,0.000990365,0.000990365
43,2271.53,1.02944,1.71569,1.19867,1.21979,0.78871,0.63917,0.72968,0.53162,0.79376,0.64265,0.73854,0.51064,1.05858,1.7171,1.10505,1.2305,0.000973861,0.000973861,0.000973861
44,2323.14,1.03637,1.7096,1.20265,1.23483,0.82155,0.58457,0.71789,0.52556,0.82963,0.5869,0.72509,0.50454,1.08585,1.8039,1.16699,1.22996,0.000957358,0.000957358,0.000957358
45,2375.28,1.02701,1.70108,1.19457,1.22105,0.83531,0.63383,0.75942,0.55061,0.84001,0.63622,0.76275,0.53228,1.04581,1.70101,1.06606,1.2214,0.000940855,0.000940855,0.000940855
46,2427.57,1.01004,1.69841,1.1526,1.20601,0.86866,0.5782,0.74522,0.52946,0.87387,0.58393,0.74659,0.52789,1.08757,1.7311,1.16574,1.25024,0.000924352,0.000924352,0.000924352
47,2479.1,0.99084,1.66398,1.16791,1.19839,0.79818,0.66256,0.74176,0.52926,0.80062,0.66509,0.74587,0.50498,1.0542,1.71262,1.05104,1.25294,0.000907848,0.000907848,0.000907848
