epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,1422.07,1.28006,2.05083,1.61028,1.45066,0.72962,0.50652,0.6362,0.43719,0.73156,0.50905,0.64859,0.43382,1.24551,1.87133,1.43813,1.35081,0.0011884,0.0011884,0.0011884
31,1468.47,1.27946,2.03811,1.57452,1.45446,0.63411,0.61267,0.63916,0.43877,0.64301,0.62536,0.64871,0.43196,1.2322,1.88487,1.32815,1.36332,0.0011719,0.0011719,0.0011719
32,1514.94,1.27901,1.99597,1.60145,1.44867,0.69525,0.58607,0.65711,0.45895,0.70195,0.59115,0.66356,0.44774,1.15501,1.80718,1.39228,1.3264,0.0011554,0.0011554,0.0011554
33,1562.56,1.24581,1.94466,1.54603,1.41492,0.69836,0.62271,0.6672,0.47349,0.71073,0.6354,0.6764,0.47299,1.10222,1.69969,1.32195,1.29288,0.00113889,0.00113889,0.00113889
34,1610.34,1.2331,1.90967,1.4765,1.41089,0.66266,0.56232,0.63275,0.43052,0.67074,0.56816,0.6429,0.42032,1.20378,1.76146,1.40334,1.3513,0.00112239,0.00112239,0.00112239
35,1656.59,1.2305,1.97528,1.53691,1.3938,0.73161,0.55978,0.65856,0.45405,0.74366,0.56739,0.67263,0.45308,1.15002,1.84136,1.37965,1.31486,0.00110589,0.00110589,0.00110589
36,1704.09,1.19505,1.90754,1.46927,1.37145,0.74293,0.6256,0.6909,0.48005,0.74709,0.63491,0.69928,0.47035,1.1477,1.72947,1.20431,1.32564,0.00108938,0.00108938,0.00108938
37,1751.42,1.16874,1.83614,1.4101,1.34662,0.76158,0.53419,0.66336,0.46235,0.76158,0.53419,0.6717,0.44252,1.17471,1.72798,1.30498,1.32685,0.00107288,0.00107288,0.00107288
38,1797.4,1.16548,1.85166,1.41089,1.34583,0.7908,0.5862,0.69299,0.49086,0.79442,0.58874,0.69464,0.47672,1.13637,1.72644,1.21918,1.31607,0.00105638,0.00105638,0.00105638
39,1844.28,1.15666,1.84105,1.39224,1.33028,0.77306,0.61149,0.71465,0.49496,0.75778,0.63288,0.72177,0.50482,1.1885,1.70414,1.23335,1.331,0.00103987,0.00103987,0.00103987
40,1891.73,1.14589,1.81137,1.36994,1.32551,0.69694,0.59149,0.66807,0.492,0.69898,0.59225,0.67296,0.47323,1.07817,1.81021,1.28852,1.26839,0.00102337,0.00102337,0.00102337
41,1938.31,1.13854,1.79229,1.33838,1.3241,0.72549,0.60018,0.68853,0.48367,0.73009,0.59717,0.68767,0.46707,1.138,1.79018,1.24235,1.29826,0.00100687,0.00100687,0.00100687
42,1985.36,1.14624,1.81822,1.37664,1.31943,0.69305,0.59406,0.68112,0.48163,0.69415,0.59483,0.68714,0.47425,1.11405,1.71534,1.24934,1.27837,0.000990365,0.000990365,0.000990365
43,2032.01,1.11946,1.77111,1.31254,1.2937,0.79824,0.5977,0.69877,0.50251,0.78525,0.60179,0.70623,0.492,1.08406,1.76246,1.2089,1.2725,0.000973861,0.000973861,0.000973861
44,2078.82,1.11808,1.75797,1.30879,1.28944,0.80378,0.58161,0.6918,0.49651,0.78688,0.59253,0.69927,0.49249,1.13203,1.70296,1.23533,1.28626,0.000957358,0.000957358,0.000957358
45,2125.74,1.11575,1.79302,1.30214,1.2888,0.76048,0.63161,0.72862,0.5137,0.76336,0.63415,0.7352,0.50667,1.109,1.63913,1.13965,1.2752,0.000940855,0.000940855,0.000940855
46,2173.38,1.0825,1.75786,1.24684,1.26631,0.76116,0.58871,0.70902,0.50939,0.76849,0.59201,0.70937,0.49843,1.13483,1.70227,1.26866,1.30231,0.000924352,0.000924352,0.000924352
47,2220.45,1.06892,1.72711,1.25457,1.25461,0.72433,0.6177,0.66958,0.47737,0.7277,0.62024,0.67896,0.45683,1.09707,1.69917,1.23985,1.26697,0.000907848,0.000907848,0.000907848
48,2267.52,1.04109,1.67925,1.20539,1.24686,0.71687,0.66712,0.71638,0.51527,0.80876,0.6103,0.72301,0.50545,1.10992,1.67465,1.18405,1.28424,0.000891345,0.000891345,0.000891345
